name*city*height*weight*position
Anderson, Dee*DeSoto, TX (DeSoto HS)*6-5*204*WR
Ika, Siaki*Salt Lake City, UT (East HS)*6-4*347*DL
Ingram, Edward*DeSoto, TX (DeSoto HS)*6-4*340*OL
Jefferson, Justin*Destrehan, LA (Destrehan HS)*6-2*185*WR
Jenkins, Jaray*Jena, LA (Jena HS)*6-2*190*WR
Jenkins III, Nelson*Plaquemine, LA (Plaquemine HS)*6-4*297*DL
Jones, Kenan*Berwick, LA (Berwick HS)*6-4*209*DB
Jones, Raydarious*Horn Lake, MS (Horn Lake HS)*6-2*161*DB
Kately, Treven*Lafayette, LA (Lafayette Christian Academy)*5-10*184*DB
King, Stephen*Alexandria, VA (Hayfield HS)*--*--*TE
Kinney, Walker*Stilwell, KS (Blue Valley HS)*6-1*310*QB
Kirklin, Jontre*Lutcher, LA (Lutcher HS)*6-0*173*WR
Langley, Tayte*Iota, LA (Iota HS)*6-3*240*LB
Lawrence, Rashard*Monroe, LA (Neville HS)*6-3*310*DL
Lee, Devonta*Amite, LA (Amite HS)*6-1*223*WR
Lewis, Cameron*Monroe, LA (Wossman HS)*6-1*190*DB
Lewis, Damien*Canton, MS (Canton HS / Northwest Mississippi CC (MS))*6-3*326*OL
Little, Desmond*Prichard, AL (Vigor HS)*6-5*210*LB
Logan, Glen*Destrehan, LA (Destrehan HS)*6-4*284*DL
Magee, Adrian*Franklinton, LA (Franklinton HS)*6-5*366*OL
Marshall Jr., Terrace*Bossier City, LA (Parkway HS)*6-3*195*WR
Martin, Michael*Weslaco, TX (University HS)*5-8*168*WR
Mashburn, Jack*Covington, LA (St. Paul's School)*6-3*208*TE
Mayea, Jansen*New Iberia, LA (Westgate HS)*6-4*235*TE
McCallum, Kendall*Oxford, AL (Oxford HS)*6-5*225*LB
McGoey, Thomas*Thibodaux, LA (E.D. White HS)*6-2*197*WR
McKernan, John Gordon*Baton Rouge, LA (University HS)*6-2*186*QB
McLendon, TK*Soperton, GA (Treutlen HS / Copiah-Lincoln JC (MS))*6-5*241*TE
McMath, Racey*New Orleans, LA (Edna Karr HS)*6-3*213*WR
Moffitt, Aaron*Baton Rouge, LA (Catholic HS)*6-3*259*TE
Monroe, Eric*Houston, TX (North Shore HS)*6-0*185*DB
Moore, Derian*Houma, LA (H.L. Bourgeois HS / Nicholls State)*6-0*197*DB
Moore, Travez*Bastrop, LA (Bastrop HS / Copiah-Lincoln JC (MS))*6-4*250*DL
Moss, Thaddeus*Charleston, WV (Mallard Creek (NC) HS / North Carolina State)*6-4*247*TE
Murray, Jabari*Oakland, CA (Oakland Tech HS)*6-2*168*DB
Netherly, Mannie*Crosby, TX (Crosby HS)*6-3*185*DB
Norman, Corren*Broussard, LA (Lafayette HS)*5-9*191*RB
Palmer, Trey*Kentwood, LA (Kentwood HS)*6-1*180*WR
Parker, Ray*Ruston, LA (Ruston HS)*6-5*233*TE
Parrish, Peter*Phenix City, AL (Central-Phenix HS)*6-1*190*QB
Perry, Thomas*Lafayette, LA (Teurlings Catholic HS)*6-6*341*OL
Pettigrew, Jamal*New Orleans, LA (St. Augustine HS)*6-6*218*TE
Phillips, Jacob*Nashville, TN (East Nashville Magnet HS)*6-3*235*LB
Queen, Patrick*Livonia, LA (Livonia HS)*6-2*215*LB
Rosenthal, Dare*Ferriday, LA (Ferriday HS)*6-8*335*OL
Savage, Jakori*Bay Minette, AL (Baldwin County HS)*6-5*289*DL
Shelvin, Tyler*Lafayette, LA (Notre Dame HS)*6-2*380*DL
Skinner, Quentin*Buford, GA (Buford HS)*6-0*253*LS
Small, Jared*Baton Rouge, LA (Catholic HS)*5-11*199*LB
Smith, Carlton*Houston, TX (Lamar HS)*6-3*227*LB
Smith, Michael*Killeen, TX (Ellison HS)*6-2*290*OL
Stafford, Preston*Pontotoc, MS (Catholic HS)*6-0*187*K
Starks, Donte*Marrero, LA (John Ehret HS)*6-1*212*LB
Stevens, JaCoby*Murfreesboro, TN (Oakland HS)*6-2*214*DB
Stingley Jr., Derek*Baton Rouge, LA (Dunham HS)*6-1*195*DB
Sullivan, Stephen*Donaldsonville, LA (Donaldsonville HS)*6-6*228*TE
Thomas, Justin*Spanish Fort, AL (Spanish Fort HS)*6-5*264*DL
Thomas, Kardell*Baton Rouge, LA (Southern Lab HS)*6-3*329*OL
Thornton, Ray*Killeen, TX (Shoemaker HS)*6-3*222*LB
Townsend, Clyde*Bradenton, FL (Braden River HS)*5-9*156*WR
Traore, Badara*Boston, MA (Matignon HS / ASA JC (NY))*6-6*310*OL
Turner, Charles*Canton, OH (IMG Academy (FL))*6-4*245*OL
Vincent Jr., Kary*Port Arthur, TX (Memorial HS)*5-10*175*DB
Von Rosenberg, Zach*Lake Charles, LA (Zachary HS)*6-5*250*P
Ward, Jay*Moultrie, GA (Colquitt County HS)*6-2*167*DB
Williams, Josh*Houston, TX (Kinkaid School)*5-10*192*RB
Williams, Michael*Baton Rouge, LA (Dunham School / Texas)*6-2*275*DL
Wire, Cameron*Gonzales, LA (East Ascension HS)*6-7*294*OL
York, Cade*Prosper, TX (Prosper HS)*6-2*189*K
